jogo_id,titulo,data_lancamento,win,mac,linux,avaliacao,feedback_positivo,qtd_avaliacoes,preco_final,preco_original,desconto,descricao,tags
1630110,Gungrave G.O.R.E,2022-11-22,True,False,False,Mixed,63,184,49.99,49.99,0.0,"Gungrave G.O.R.E is a stylish third-person action shooter by South-Korean Studio IGGYMOB in which you take on the role of Grave, a gunslinger of resurrection and badass anti-hero of your dreams, mowing down tons of enemies in a gory ballet of bullets.","['Action', 'Action-Adventure', ""Shoot 'Em Up"", '3D', 'Cyberpunk', 'Dark Fantasy', 'Futuristic', 'Surreal', 'Bullet Time', 'Gore', 'Combat', 'Violent', 'Controller', 'Adventure', 'Hack and Slash', 'Strategy', 'Simulation', 'Story Rich', 'Singleplayer', 'Third-Person Shooter']"
208650,Batman™: Arkham Knight,2015-06-23,True,False,False,Very Positive,89,61510,3.99,19.99,80.0,"Batman™: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile.","['Action', 'Open World', 'Superhero', 'Stealth', 'Adventure', 'Third Person', 'Singleplayer', 'Detective', 'Fighting', 'Story Rich', 'Atmospheric', 'Dark', 'Comic Book', ""Beat 'em up"", 'Puzzle', 'Mature', 'Sandbox', 'Strategy', 'Horror', 'Epic']"
525620,Octogeddon,2018-02-08,True,False,False,Very Positive,91,686,8.88,8.88,0.0,"You ARE Octogeddon, a massive mutant octopus with one mission: DESTROY the world! Grow more tentacles and evolve each of them into deadlier and deadlier weapons until you become the ultimate eight-legged killing machine!","['Action Roguelike', 'Action', 'Casual', 'Indie', 'Strategy', 'Funny', 'Singleplayer', 'Roguelite', '2D', 'Great Soundtrack', 'Arcade', 'Destruction', 'Controller', 'Underwater', 'Cartoony', 'Tower Defense', 'Family Friendly', 'Mechs', 'Mouse only', ""Shoot 'Em Up""]"
530320,Wandersong,2018-09-27,True,True,False,Overwhelmingly Positive,96,1538,19.99,19.99,0.0,"A musical platforming adventure with an emotional story. Play as a silly bard and use music to interact with everything on a journey around the world. Along the way you'll explore, solve puzzles, and meet a huge cast of characters!","['Music', 'Adventure', 'Comedy', 'Indie', 'Emotional', 'Story Rich', 'Great Soundtrack', 'Colorful', 'Cute', 'Funny', 'Casual', 'Platformer', 'Family Friendly', 'Stylized', 'Side Scroller', 'Rhythm', 'Cartoony', '2D', 'Exploration', 'Experimental']"
812040,Shortest Trip to Earth,2019-08-15,True,False,True,Mostly Positive,76,1143,24.99,24.99,0.0,"Shortest Trip to Earth is a roguelike spaceship simulator focused on exploration, ship management and tactical battles. Embark on a perilous journey across the universe with nuclear missiles, armed crew and a cat.","['Roguelite', 'Space', 'Strategy', 'Survival', 'Sci-fi', 'Exploration', 'Resource Management', 'Difficult', 'Action Roguelike', 'Roguelike', 'Spaceships', 'Choices Matter', 'Simulation', 'Tactical', 'Adventure', 'Aliens', 'Singleplayer', 'Replay Value', 'Space Sim', '2D']"
1066180,Crisis Brigade 2 reloaded,2021-11-11,True,False,False,Very Positive,84,244,9.99,19.99,50.0,"Crisis Brigade 2 reloaded is about covering, pointing and shooting, fast-paced pure action. Intense shootouts, powerful weapons, challenging levels, fierce enemies... Like the 90's classic arcade machines, but with the immersion that Virtual Reality is capable of.","['Action', 'VR', 'Indie', 'Violent', 'Shooter', 'Arcade', 'FPS', 'Early Access', 'First-Person', 'War', 'Old School', '6DOF', 'Blood', 'Singleplayer']"
1148760,I Was a Teenage Exocolonist,2022-08-25,True,True,True,Overwhelmingly Positive,97,1379,24.99,24.99,0.0,"Spend your teenage years on an alien planet in this narrative RPG with card-based battles. Explore, grow up, and fall in love. The choices you make and skills you master over ten years will determine the course of your life and the survival of your colony.","['Choices Matter', 'Life Sim', 'RPG', 'Deckbuilding', 'Choose Your Own Adventure', 'Dating Sim', 'Multiple Endings', 'Story Rich', 'Sci-fi', 'Trading Card Game', 'Visual Novel', 'Simulation', 'Management', 'Interactive Fiction', 'Hand-drawn', 'Card Game', 'Survival', 'Turn-Based', 'Futuristic', 'LGBTQ+']"
1160750,Grim Clicker,2020-01-09,True,False,False,Very Positive,81,2126,0.0,0.0,0.0,"Grim Clicker is an IDLE/RPG clicker where you will find your own strategy to explore the lost worlds. Inspired by games such as Diablo, Grim Dawn, Dark Souls, etc., the game features a complex character development, many unique items, active and passive playstyle.","['Clicker', 'Idler', 'Free to Play', 'RPG', '2D', 'Singleplayer', 'Indie', 'Side Scroller', 'Inventory Management', 'Casual', 'Souls-like', 'Strategy', 'Pixel Graphics', 'Automation', 'Character Customization', 'Fantasy', 'Hack and Slash', 'Action', 'Early Access', 'Dark Fantasy']"
1367690,Tony Stewart's All-American Racing,2020-09-04,True,False,False,Very Positive,83,141,29.99,29.99,0.0,"In Tony Stewart’s All-American Racing, it’s always a Saturday night at the local short track! With three different styles of racing to choose from and a variety of tracks, it’s sure to be a good time for all!","['Racing', 'Driving', 'Offroad', 'Physics', 'Simulation', 'Sports', 'Singleplayer', 'Character Customization', '3D', 'First-Person', 'Split Screen', 'Local Multiplayer', 'Third Person', 'Multiplayer', 'Automobile Sim', 'America']"
1492360,Recipe for Disaster,2022-08-05,True,False,False,Mostly Positive,76,449,16.99,16.99,0.0,"Recipe for Disaster is a management sim that captures the fast-paced, drama-filled environment of a professional kitchen and dining room. Build your dream restaurant, create recipes, design menus and manage your staff, all while contending with demanding customers and disastrous situations!","['Cooking', 'Management', 'Casual', 'Simulation', 'Life Sim', 'Building', 'Time Management', 'Procedural Generation', 'Economy', 'Automation', 'Capitalism', 'Character Customization', '3D', 'Isometric', 'Strategy', 'Resource Management', 'Choices Matter', 'Sandbox', 'Moddable', 'Singleplayer']"
